,id,createdTime,fields.Unnamed: 0,fields.index,fields.city_name,fields.iata_code,fields.gmt,fields.timezone,fields.latitude,fields.longitude
138,rec11uUp6XNIrQ8Vq,2024-07-21T16:17:22.000Z,4979,4957,Mineral Wells,MWL,-6,America/Chicago,-5.13,137.53
139,rec11udi9lhAJWwma,2024-07-21T16:20:49.000Z,7759,7524,Tauranga,TRG,12,Pacific/Auckland,-37.67093,176.19772
140,rec12tDCZFRwcSUrf,2024-07-21T16:17:55.000Z,5425,2278,Neubrandenburg,FNB,1,Europe/Berlin,53.60278,13.307222
141,rec149HlEzyw72fGL,2024-07-21T16:11:57.000Z,441,389,Ashley,ASY,-6,America/Chicago,46.033333,-99.36667
142,rec14NNOnPD1yOOZB,2024-07-21T16:20:00.000Z,7097,9111,Secunda,ZEC,2,Africa/Johannesburg,-27,28
143,rec15HbKIHUbS73tb,2024-07-21T16:11:57.000Z,442,390,Asirim,ASZ,10,Pacific/Port_Moresby,-5.866667,150.36667
144,rec15dhqUhzHvVPtO,2024-07-21T16:16:12.000Z,4018,3478,Kuusamo,KAO,2,Europe/Helsinki,65.99028,29.233889
145,rec16IxEALaGAPM4e,2024-07-21T16:17:13.000Z,4846,4640,Mbuji-Mayi,MJM,2,Africa/Lubumbashi,-6.15,23.633333
146,rec17OVIski4niUFx,2024-07-21T16:20:28.000Z,7478,7017,Stephen Island,STF,10,Australia/Brisbane,-9.5,143.56667
147,rec17SK0nrqyTnfom,2024-07-21T16:15:45.000Z,3646,3834,Kassel,KSF,1,Europe/Berlin,51.415855,9.380858
148,rec17SWKnn1x2LMSM,2024-07-21T16:17:33.000Z,5132,9197,Morges,ZJQ,1,Europe/Zurich,46.51127,6.49854
149,rec18UigSlNDol9yp,2024-07-21T16:16:29.000Z,4240,8545,Leksand,XXO,1,Europe/Stockholm,60.73387,15.00316
150,rec1A0IvHpfIDVdnK,2024-07-21T16:13:56.000Z,2071,1787,Dunbar,DNB,10,Australia/Brisbane,-16.010834,142.39055
151,rec1ACxPmFhxhzoBK,2024-07-21T16:14:12.000Z,2314,2269,Falmouth,FMH,-5,America/New_York,41.666668,-70.55
152,rec1B1Bld6VSA900w,2024-07-21T16:11:32.000Z,86,148,Aishalton,AHL,-4,America/Guyana,2.483333,-59.316666
153,rec1BgpquheBO9b1g,2024-07-21T16:12:50.000Z,1162,975,Burketown,BUC,10,Australia/Brisbane,-17.75,139.53334
154,rec1BmEonHHHwV6O8,2024-07-21T16:18:37.000Z,5981,5731,Paysandu,PDU,-3,America/Montevideo,-32.365833,-58.064167
155,rec1EKqEtZrIcyeun,2024-07-21T16:19:54.000Z,7019,7001,Sao Lourenco,SSO,-3,America/Sao_Paulo,-22.116667,-45.05
156,rec1EwmBpdPKNFLPD,2024-07-21T16:21:00.000Z,7898,7343,Tingwon,TIG,10,Pacific/Port_Moresby,-2.6,149.78334
157,rec1F36CXKfbOzE5K,2024-07-21T16:16:31.000Z,4266,4075,Leticia,LET,-5,America/Bogota,-4.196389,-69.939445
